MW;1-2;2-2;3-2;4-2;5-2;6-2;7-2;8-2;9-2;10-2;11-2;12-2;13-2;14-2;15-2;16-2;17-2;18-2;19-2;20-2;21-2;22-2;23-2
7,1721;370,3011;491,2711;393,7776;296,0887;112,2429;169,2821;543,6543;283,9716;149,9453;650,7881;235,3276;230,0569;524,3138;380,7311;560,8669;251,5081;182,9135;155,1272;189,8915;444,9746;224,106;349,9213;215,3098
7,3437;428,9569;566,6184;434,2732;332,7577;117,9966;182,0802;593,6035;333,6482;172,256;743,3157;274,5413;259,3282;566,4848;434,1575;620,9379;297,1361;220,9232;173,4819;197,1613;502,8413;237,5734;403,1279;233,1096
7,5152;483,4518;630,4464;476,5792;382,6777;128,2946;205,5603;643,4679;377,6728;200,8163;840,5172;316,6375;290,7796;605,2277;494,9419;682,1548;352,522;260,5745;186,675;213,7912;569,4803;260,1802;462,4034;250,7169
7,6867;540,8795;697,0532;536,34;438,0194;139,5217;230,533;704,4331;426,2287;232,5192;933,217;363,957;330,313;640,1067;555,3264;744,5651;408,6576;303,1655;217,6247;249,8517;633,321;290,3787;528,5004;271,4439
7,8583;600,0205;785,2064;600,9198;491,3125;153,4376;263,4576;778,9017;480,6094;275,6323;1018,7273;415,8653;375,1921;658,8377;595,8906;805,8323;470,0532;366,502;248,5621;293,1515;694,8233;330,4035;601,0826;298,9119
8,0298;672,6372;854,3892;674,4453;540,8441;172,4865;292,1584;863,3571;539,5239;320,0312;1107,7485;468,534;412,2038;663,0233;664,2399;860,6052;540,5935;440,7019;281,7098;342,298;750,8315;367,3653;681,0511;327,4689
8,2013;739,5657;927,0223;756,2808;591,4523;192,5147;333,1945;952,0505;601,3004;368,4796;1183,7269;519,0943;438,4161;663,9331;735,8547;930,7748;623,0849;527,5844;324,0184;404,2228;798,7361;415,2835;775,2459;361,0256
8,3729;803,1035;993,5027;842,8815;665,2726;208,7032;393,9684;1047,0982;666,9805;424,4939;1257,4903;579,5226;480,4919;652,7251;784,2445;1011,0068;700,0664;625,6109;366,6765;478,5256;847,9286;469,9909;867,3338;407,2739
8,5444;856,6363;1048,541;926,3719;737,4838;231,5027;463,3371;1141,2819;747,3942;478,3153;1320,3258;643,6208;510,6098;631,9267;875,2731;1044,0022;751,1198;740,8266;416,0509;564,722;887,8155;528,6831;951,1264;430,3932
8,7159;915,3008;1121,3663;993,3081;794,4109;256,6804;542,5979;1228,9886;814,1228;536,1047;1342,011;699,3955;537,6065;604,6171;897,9506;1034,2227;799,4389;883,3726;464,6692;669,572;928,1994;590,8241;1037,6872;453,7845
8,8875;960,1535;1188,8772;1053,7565;857,9474;283,6606;648,3637;1309,5129;856,5161;592,4819;1332,9618;758,8645;562,0094;573,6984;894,2337;1005,3853;867,341;1034,8784;515,831;796,7392;967,0494;662,0163;1116,6071;479,9944
