MW;24-2;25-2;26-2;27-2;28-2;29-2;30-2;31-2;32-2;33-2;34-2;35-2;36-2;37-2
17,2803;318,205;12,2464;408,8181;779,8744;1006,772;372,3114;421,4459;217,4308;324,2688;144,1735;95,9861;-3,5455;330,1823;276,3879
17,4694;287,4688;12,0902;397,257;679,0776;953,6531;335,2893;414,3647;216,7316;335,1714;124,8366;98,3441;-3,14;295,4443;243,8568
17,6585;258,5402;12,9115;396,7397;592,7446;863,7407;294,4395;406,1588;217,139;376,0077;113,8347;92,5367;-1,8461;264,6607;210,8479
17,8477;240,1538;12,269;391,2994;510,4524;764,9285;259,3695;392,254;217,2368;400,04;106,3999;84,2632;-0,7909;259,6844;184,7876
18,0368;229,6269;12,5416;386,8897;441,4346;668,4861;229,9726;383,4254;213,6745;427,9526;104,5529;83,3889;0,1147;246,0394;177,5818
18,2259;216,0043;10,5572;385,9428;381,3011;579,8522;192,844;372,2498;218,7694;460,036;104,8633;82,5558;0,1509;221,8284;159,8457
18,4151;205,938;11,0455;382,8702;327,5643;508,7586;174,291;363,425;223,7981;475,9034;95,4618;77,1626;1,9224;186,261;141,6554
18,6042;201,7733;13,345;364,7007;299,5598;435,9286;159,5897;353,6661;225,5407;495,8676;89,6151;67,9729;1,304;174,3359;125,7028
18,7933;208,5382;12,5013;359,3027;284,9963;380,6906;150,7222;351,4687;230,3525;511,7882;92,9034;59,8329;1,8921;165,6573;112,3079
18,9825;212,7306;7,5802;358,8404;264,5718;341,1126;134,2276;351,1964;233,4154;542,692;90,2776;65,9389;3,6367;153,4881;107,2095
19,1716;220,7874;10,4226;362,8237;260,511;310,2305;124,3487;347,2627;233,9424;560,8284;97,0641;77,7209;2,3548;150,2075;104,2837
19,3607;233,0234;9,1415;370,3592;252,5323;289,6306;121,7334;352,1992;230,2318;588,5721;93,3578;78,2711;1,6347;145,1051;101,2816
